Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
86,17,1,179,8,Some Random Commen with Id 86
87,17,1,166,3,Some Random Commen with Id 87
88,17,1,104,2,Some Random Commen with Id 88
89,18,3,29,9,Some Random Commen with Id 89
90,18,3,56,4,Some Random Commen with Id 90
91,18,3,184,9,Some Random Commen with Id 91
92,18,3,19,5,Some Random Commen with Id 92
93,18,3,104,5,Some Random Commen with Id 93
94,18,3,179,1,Some Random Commen with Id 94
95,20,3,148,0,Some Random Commen with Id 95
96,20,3,17,2,Some Random Commen with Id 96
97,20,3,77,7,Some Random Commen with Id 97
98,20,3,92,2,Some Random Commen with Id 98
99,21,5,37,0,Some Random Commen with Id 99
100,21,5,46,7,Some Random Commen with Id 100
101,21,5,159,2,Some Random Commen with Id 101
102,21,5,119,7,Some Random Commen with Id 102
103,21,5,117,5,Some Random Commen with Id 103
104,21,5,12,8,Some Random Commen with Id 104
105,21,5,13,3,Some Random Commen with Id 105
106,21,5,135,3,Some Random Commen with Id 106
107,23,5,94,1,Some Random Commen with Id 107
108,23,5,74,6,Some Random Commen with Id 108
109,23,5,71,1,Some Random Commen with Id 109
110,23,5,193,0,Some Random Commen with Id 110
111,23,5,21,9,Some Random Commen with Id 111
112,23,5,137,7,Some Random Commen with Id 112
113,23,5,62,4,Some Random Commen with Id 113
114,23,5,20,8,Some Random Commen with Id 114
115,24,8,1,3,Some Random Commen with Id 115
116,25,6,73,6,Some Random Commen with Id 116
117,26,2,118,7,Some Random Commen with Id 117
118,28,9,15,5,Some Random Commen with Id 118
119,28,9,33,3,Some Random Commen with Id 119
120,29,6,120,6,Some Random Commen with Id 120
121,29,6,136,3,Some Random Commen with Id 121
122,30,3,189,1,Some Random Commen with Id 122
123,31,5,132,3,Some Random Commen with Id 123
124,31,5,175,8,Some Random Commen with Id 124
125,31,5,61,1,Some Random Commen with Id 125
126,31,5,50,7,Some Random Commen with Id 126
127,31,5,147,3,Some Random Commen with Id 127
128,31,5,171,5,Some Random Commen with Id 128
129,31,5,91,4,Some Random Commen with Id 129
130,31,5,80,7,Some Random Commen with Id 130
131,31,5,190,8,Some Random Commen with Id 131
132,32,1,95,4,Some Random Commen with Id 132
133,32,1,197,7,Some Random Commen with Id 133
134,32,1,160,4,Some Random Commen with Id 134
135,32,1,115,3,Some Random Commen with Id 135
136,32,1,79,2,Some Random Commen with Id 136
137,32,1,141,9,Some Random Commen with Id 137
138,32,1,6,6,Some Random Commen with Id 138
139,33,3,40,7,Some Random Commen with Id 139
140,33,3,124,3,Some Random Commen with Id 140
141,33,3,127,1,Some Random Commen with Id 141
142,33,3,8,1,Some Random Commen with Id 142
143,33,3,19,8,Some Random Commen with Id 143
144,33,3,81,5,Some Random Commen with Id 144
145,33,3,77,4,Some Random Commen with Id 145
146,33,3,102,1,Some Random Commen with Id 146
147,33,3,129,0,Some Random Commen with Id 147
148,34,5,138,0,Some Random Commen with Id 148
149,34,5,87,1,Some Random Commen with Id 149
150,34,5,175,2,Some Random Commen with Id 150
151,34,5,57,0,Some Random Commen with Id 151
152,34,5,59,6,Some Random Commen with Id 152
153,35,1,99,3,Some Random Commen with Id 153
154,35,1,11,6,Some Random Commen with Id 154
155,35,1,144,9,Some Random Commen with Id 155
156,36,1,156,9,Some Random Commen with Id 156
157,36,1,65,8,Some Random Commen with Id 157
158,36,1,113,1,Some Random Commen with Id 158
159,37,0,5,6,Some Random Commen with Id 159
160,37,0,107,2,Some Random Commen with Id 160
161,37,0,146,4,Some Random Commen with Id 161
162,37,0,178,0,Some Random Commen with Id 162
163,38,6,173,4,Some Random Commen with Id 163
164,38,6,15,6,Some Random Commen with Id 164
165,38,6,193,8,Some Random Commen with Id 165
166,39,2,186,4,Some Random Commen with Id 166
167,39,2,96,7,Some Random Commen with Id 167
168,39,2,175,8,Some Random Commen with Id 168
169,39,2,1,8,Some Random Commen with Id 169
170,39,2,74,6,Some Random Commen with Id 170
171,39,2,198,0,Some Random Commen with Id 171
